review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000023,ORD-20260107-294891,CUST-10171,REST-DXB-001,Disappointed with Chicken Seekh Kebab  Jeera Rice  and Dal Makhani. Dal Makhani was cold when it arrived. Not worth the money.,2,2026-01-10T19:49:30.879076
REV-000024,ORD-20260108-850633,CUST-10209,REST-SHJ-001,Outstanding experience! The Aloo Tikki Chaat  Palak Paneer  Paneer Tikka  and Tandoori Roti exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2026-01-10T22:40:48.879076
REV-000025,ORD-20260110-440117,CUST-10363,REST-AUH-001,Decent food but nothing special. Gajar Halwa were okay. Gajar Halwa lacked the punch I expected.,3,2026-01-11T10:37:40.879076
REV-000022,ORD-20260107-869925,CUST-10082,REST-AUH-001,Pleasant meal! Fish Curry arrived warm. Fish Curry was tasty though not exceptional. Would order again.,4,2026-01-13T11:11:46.879076
REV-000026,ORD-20260111-765227,CUST-10379,REST-DXB-001,Pleasant meal! Jeera Rice  Fresh Lime Soda  Chole Bhature  Mango Lassi  and Naan arrived warm. Naan was tasty though not exceptional. Would order again.,4,2026-01-16T19:07:45.879076
REV-000027,ORD-20260114-863464,CUST-10471,REST-SHJ-001,Perfect in every way! Butter Naan  Paneer Butter Masala  Fresh Lime Soda  Naan  and Chole Bhature were all excellent. Naan stood out with its rich  authentic taste.,5,2026-01-21T14:55:35.879076
REV-000028,ORD-20260114-907979,CUST-10228,REST-AUH-001,Perfect in every way! Butter Chicken  Palak Paneer  Chicken Tikka Masala  and Rasmalai (2 pcs) were all excellent. Rasmalai (2 pcs) stood out with its rich  authentic taste.,5,2026-01-21T18:31:03.879076
REV-000029,ORD-20260122-968602,CUST-10414,REST-AUH-002,Mixed feelings. Chicken Seekh Kebab  Gulab Jamun (2 pcs)  and Vegetable Biryani were acceptable. Chicken Seekh Kebab was decent but portion was small for the price.,3,2026-01-29T17:26:59.879076
REV-000030,ORD-20260131-816386,CUST-10237,REST-DXB-002,Wow! Just wow! Palak Paneer  Fresh Lime Soda  Dal Makhani  Chicken 65  and Chole Bhature were all fantastic. Dal Makhani was particularly memorable. Can't wait to order again!,5,2026-02-01T16:22:52.879076
REV-000031,ORD-20260203-507181,CUST-10248,REST-AUH-002,Exceptional quality! Ordered Chicken Seekh Kebab  Masala Chai  Paneer Tikka  Chicken 65  and Lamb Rogan Josh and everything was delicious. The Lamb Rogan Josh melted in my mouth. Perfect!,5,2026-02-04T10:16:39.879076
REV-000032,ORD-20260207-145660,CUST-10216,REST-DXB-001,Solid experience. Jeera Rice  Rasmalai (2 pcs)  Sweet Lassi  and Chicken Tikka Masala were well-prepared. Chicken Tikka Masala had great flavor. Minor issues with packaging.,4,2026-02-12T19:05:37.879076
REV-000033,ORD-20260210-983975,CUST-10463,REST-DXB-002,It was okay. Naan and Masala Chai arrived lukewarm. Masala Chai tasted fine but could be better.,3,2026-02-15T21:54:35.879076
REV-000034,ORD-20260212-131858,CUST-10100,REST-DXB-001,Expected better. Chicken 65 were subpar. Chicken 65 was too oily and greasy. Stomach upset followed.,2,2026-02-17T14:55:59.879076
REV-000039,ORD-20260218-981453,CUST-10305,REST-AUH-001,Outstanding experience! The Naan  Vegetable Biryani  and Mango Lassi exceeded all expectations. Naan was the star of the meal. Will definitely order again!,5,2026-02-19T16:28:39.879076
REV-000035,ORD-20260212-625002,CUST-10389,REST-AUH-002,Mixed feelings. Gulab Jamun (2 pcs)  Mango Lassi  Tandoori Roti  Dal Makhani  and Paneer Butter Masala were acceptable. Gulab Jamun (2 pcs) was decent but portion was small for the price.,3,2026-02-19T18:48:36.879076
REV-000036,ORD-20260213-220425,CUST-10012,REST-DXB-001,Very satisfied! Dal Makhani  Chicken 65  Paneer Butter Masala  and Butter Chicken were fresh and flavorful. Chicken 65 was the standout dish.,4,2026-02-19T19:23:22.879076
REV-000040,ORD-20260219-737877,CUST-10214,REST-SHJ-001,Best Indian food in UAE! Gulab Jamun (2 pcs)  Butter Chicken  Chole Bhature  Tandoori Roti  and Chicken Seekh Kebab were incredible. Gulab Jamun (2 pcs) had the perfect balance of spices. Five stars!,5,2026-02-20T19:53:58.879076
REV-000038,ORD-20260217-287183,CUST-10219,REST-AUH-002,Best Indian food in UAE! Aloo Tikki Chaat  Mango Lassi  Palak Paneer  and Dal Makhani were incredible. Palak Paneer had the perfect balance of spices. Five stars!,5,2026-02-22T20:34:40.879076
REV-000037,ORD-20260217-924789,CUST-10431,REST-SHJ-001,Outstanding experience! The Chicken Seekh Kebab  Chicken Biryani  Gulab Jamun (2 pcs)  and Sweet Lassi exceeded all expectations. Gulab Jamun (2 pcs) was the star of the meal. Will definitely order again!,5,2026-02-24T16:04:00.879076
REV-000042,ORD-20260222-804570,CUST-10351,REST-DXB-002,Incredible meal! Rasmalai (2 pcs)  Masala Chai  Dal Makhani  and Chicken 65 arrived hot and fresh. The Chicken 65 was absolutely divine. Highly satisfied!,5,2026-02-25T16:40:14.879076
REV-000043,ORD-20260223-440016,CUST-10151,REST-DXB-001,Enjoyed the Masala Chai  Samosa (2 pcs)  and Chicken 65! Masala Chai was very good. Portion sizes were generous. Recommend!,4,2026-02-27T10:26:17.879076
REV-000044,ORD-20260224-419394,CUST-10244,REST-AUH-002,Absolutely amazing Naan  Fresh Lime Soda  and Chicken 65! The Chicken 65 was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-27T21:25:38.879076
REV-000041,ORD-20260222-765490,CUST-10381,REST-AUH-001,Absolutely amazing Paneer Tikka and Garlic Naan! The Garlic Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-01T16:13:09.879076
REV-000045,ORD-20260227-117806,CUST-10293,REST-AUH-002,Below expectations. Butter Chicken and Fish Curry were underwhelming. Fish Curry was overcooked and dry.,2,2026-03-04T10:30:04.879076
REV-000048,ORD-20260304-466120,CUST-10204,REST-DXB-002,Good quality food. Gajar Halwa and Paneer Tikka were nicely done. Paneer Tikka could have been slightly spicier but still good!,4,2026-03-05T14:37:31.879076
REV-000046,ORD-20260302-960743,CUST-10425,REST-SHJ-001,Best Indian food in UAE! Naan  Kulfi  Butter Naan  and Butter Chicken were incredible. Kulfi had the perfect balance of spices. Five stars!,5,2026-03-06T16:39:17.879076
REV-000049,ORD-20260306-329529,CUST-10337,REST-AUH-001,Incredible meal! Kulfi  Chicken Biryani  Masala Chai  Chole Bhature  and Paneer Tikka arrived hot and fresh. The Paneer Tikka was absolutely divine. Highly satisfied!,5,2026-03-08T16:10:52.879076
REV-000047,ORD-20260303-335121,CUST-10360,REST-AUH-001,Hands down the best Paneer Tikka I've ever had! Rasmalai (2 pcs)  Naan  and Paneer Tikka were all prepared beautifully. Fresh and flavorful!,5,2026-03-09T15:28:01.879076
REV-000050,ORD-20260306-110272,CUST-10317,REST-DXB-002,Incredible meal! Fish Curry and Masala Chai arrived hot and fresh. The Masala Chai was absolutely divine. Highly satisfied!,5,2026-03-12T18:10:14.879076
REV-000051,ORD-20260308-774648,CUST-10278,REST-DXB-001,Outstanding experience! The Butter Chicken  Chicken Seekh Kebab  Paneer Butter Masala  and Garlic Naan exceeded all expectations. Butter Chicken was the star of the meal. Will definitely order again!,5,2026-03-13T11:34:36.879076
REV-000052,ORD-20260311-685576,CUST-10056,REST-DXB-001,Average experience. Fish Curry  Naan  and Gajar Halwa were fine but Naan was a bit bland. Room for improvement.,3,2026-03-14T16:12:07.879076
REV-000053,ORD-20260316-154196,CUST-10181,REST-AUH-002,Below expectations. Jeera Rice were underwhelming. Jeera Rice was overcooked and dry.,2,2026-03-20T22:48:29.879076
REV-000058,ORD-20260325-977887,CUST-10475,REST-SHJ-001,Decent food but nothing special. Chole Bhature and Aloo Tikki Chaat were okay. Aloo Tikki Chaat lacked the punch I expected.,3,2026-03-26T16:31:11.879076
REV-000054,ORD-20260321-229238,CUST-10495,REST-DXB-002,Outstanding experience! The Vegetable Biryani  Lamb Rogan Josh  and Palak Paneer exceeded all expectations. Lamb Rogan Josh was the star of the meal. Will definitely order again!,5,2026-03-26T16:37:39.879076
REV-000055,ORD-20260323-462626,CUST-10484,REST-AUH-001,Very satisfied! Palak Paneer were fresh and flavorful. Palak Paneer was the standout dish.,4,2026-03-27T21:31:18.879076
REV-000056,ORD-20260324-160218,CUST-10374,REST-DXB-001,Absolutely amazing Gulab Jamun (2 pcs)  Aloo Tikki Chaat  Mango Lassi  Paneer Butter Masala  and Lamb Rogan Josh! The Mango Lassi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-30T13:50:53.879076
REV-000057,ORD-20260324-226067,CUST-10052,REST-DXB-002,Unsatisfactory. Malai Kofta  Gajar Halwa  and Sweet Lassi were not fresh. Sweet Lassi tasted reheated. Won't order again.,2,2026-03-31T21:16:29.879076
REV-000061,ORD-20260330-744540,CUST-10289,REST-SHJ-001,Solid experience. Fish Curry  Chole Bhature  Chicken Tikka Masala  and Paneer Tikka were well-prepared. Chicken Tikka Masala had great flavor. Minor issues with packaging.,4,2026-04-01T10:40:44.879076
REV-000060,ORD-20260329-941687,CUST-10130,REST-SHJ-001,Outstanding experience! The Dal Makhani  Rasmalai (2 pcs)  Gulab Jamun (2 pcs)  and Masala Chai exceeded all expectations. Dal Makhani was the star of the meal. Will definitely order again!,5,2026-04-01T12:58:30.879076
REV-000063,ORD-20260331-399381,CUST-10140,REST-AUH-002,Expected better. Samosa (2 pcs)  Malai Kofta  and Chicken Seekh Kebab were subpar. Malai Kofta was too oily and greasy. Stomach upset followed.,2,2026-04-01T22:43:50.879076
REV-000059,ORD-20260328-922784,CUST-10434,REST-DXB-001,Good quality food. Garlic Naan were nicely done. Garlic Naan could have been slightly spicier but still good!,4,2026-04-02T17:51:37.879076
REV-000064,ORD-20260402-629159,CUST-10348,REST-AUH-002,Perfect in every way! Chicken Biryani  Chicken Tikka Masala  and Garlic Naan were all excellent. Garlic Naan stood out with its rich  authentic taste.,5,2026-04-06T16:26:47.879076
REV-000066,ORD-20260402-268076,CUST-10382,REST-DXB-002,Wow! Just wow! Malai Kofta and Butter Naan were all fantastic. Malai Kofta was particularly memorable. Can't wait to order again!,5,2026-04-06T21:53:35.879076
REV-000062,ORD-20260331-132110,CUST-10471,REST-AUH-001,Mixed feelings. Chicken Tikka Masala and Masala Chai were acceptable. Chicken Tikka Masala was decent but portion was small for the price.,3,2026-04-07T21:37:07.879076
REV-000067,ORD-20260407-744084,CUST-10148,REST-DXB-002,Wow! Just wow! Chicken Tikka Masala  Jeera Rice  Dal Makhani  and Chicken 65 were all fantastic. Dal Makhani was particularly memorable. Can't wait to order again!,5,2026-04-08T20:54:07.879076
REV-000065,ORD-20260402-743406,CUST-10025,REST-DXB-002,Average experience. Lamb Rogan Josh  Tandoori Roti  Paneer Butter Masala  Chole Bhature  and Sweet Lassi were fine but Lamb Rogan Josh was a bit bland. Room for improvement.,3,2026-04-09T19:58:24.879076
REV-000068,ORD-20260414-185249,CUST-10445,REST-SHJ-001,Pleasant meal! Butter Chicken and Chicken Biryani arrived warm. Chicken Biryani was tasty though not exceptional. Would order again.,4,2026-04-20T15:59:08.879076
REV-000070,ORD-20260420-510866,CUST-10282,REST-SHJ-001,Hands down the best Fish Curry I've ever had! Rasmalai (2 pcs)  Palak Paneer  Fish Curry  and Masala Chai were all prepared beautifully. Fresh and flavorful!,5,2026-04-21T12:50:54.879076
REV-000069,ORD-20260418-269396,CUST-10091,REST-AUH-002,Best Indian food in UAE! Gulab Jamun (2 pcs)  Kulfi  Dal Makhani  Butter Naan  and Chicken Tikka Masala were incredible. Gulab Jamun (2 pcs) had the perfect balance of spices. Five stars!,5,2026-04-24T13:21:40.879076
REV-000071,ORD-20260430-346826,CUST-10243,REST-AUH-002,Outstanding experience! The Masala Chai  Dal Makhani  Gulab Jamun (2 pcs)  and Sweet Lassi exceeded all expectations. Masala Chai was the star of the meal. Will definitely order again!,5,2026-05-05T21:01:26.879076
REV-000072,ORD-20260503-380298,CUST-10138,REST-AUH-001,Best Indian food in UAE! Rasmalai (2 pcs)  Masala Chai  and Butter Naan were incredible. Butter Naan had the perfect balance of spices. Five stars!,5,2026-05-06T15:39:03.879076
